gamma,Nu,source
1.0,1.0000063380603887,Oceananigans
1.1,1.1389600817565988,Oceananigans
1.2,1.2513042942334363,Oceananigans
1.4,1.4340253056890864,Oceananigans
2.0,1.7942710918869882,Oceananigans
3.0,2.1341888268252442,Oceananigans
4.0,2.2729701607643156,Oceananigans
6.0,2.6257465919764327,Oceananigans
10.0,3.0539121967952805,Oceananigans
15.0,3.3320109848022117,Oceananigans
20.0,3.61573763138995,Oceananigans
30.0,4.044118675611326,Oceananigans
40.0,4.219092372959057,Oceananigans
50.0,4.451390997074526,Oceananigans
1.0,1.0000017088004065,Oceananigans_2
1.1,1.0000951149107835,Oceananigans_2
1.2,1.0001556649644883,Oceananigans_2
1.4,1.059993750474442,Oceananigans_2
2.0,1.4950266037837994,Oceananigans_2
3.0,1.8028620115860932,Oceananigans_2
4.0,2.1746407586472625,Oceananigans_2
6.0,2.4492938878066584,Oceananigans_2
10.0,2.942243437168782,Oceananigans_2
15.0,3.2915143075929794,Oceananigans_2
20.0,3.489940974882315,Oceananigans_2
30.0,3.8660597941049306,Oceananigans_2
40.0,4.1565758751853075,Oceananigans_2
50.0,4.376799446835404,Oceananigans_2
1.0,1.0,Veronis1966
1.1,1.18,Veronis1966
1.2,1.34,Veronis1966
1.4,1.61,Veronis1966
2.0,2.14,Veronis1966
3.0,2.68,Veronis1966
4.0,3.05,Veronis1966
6.0,3.64,Veronis1966
10.0,4.25,Veronis1966
15.0,4.58,Veronis1966
20.0,4.85,Veronis1966
30.0,5.28,Veronis1966
40.0,6.68,Veronis1966
50.0,7.16,Veronis1966
1.1,1.16,MooreWeiss1973_LowRes
1.2,1.32,MooreWeiss1973_LowRes
1.4,1.58,MooreWeiss1973_LowRes
2.0,2.12,MooreWeiss1973_LowRes
3.0,2.65,MooreWeiss1973_LowRes
4.0,3.01,MooreWeiss1973_LowRes
5.0,3.25,MooreWeiss1973_LowRes
6.0,3.48,MooreWeiss1973_LowRes
10.0,4.19,MooreWeiss1973_LowRes
15.0,4.75,MooreWeiss1973_LowRes
20.0,5.24,MooreWeiss1973_LowRes
30.0,5.93,MooreWeiss1973_LowRes
40.0,6.56,MooreWeiss1973_LowRes
50.0,7.05,MooreWeiss1973_LowRes
2.0,2.14,MooreWeiss1973_HighRes
15.0,5.30,MooreWeiss1973_HighRes
30.0,6.67,MooreWeiss1973_HighRes
50.0,7.34,MooreWeiss1973_HighRes